GeoFIPS,County,Sector,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
6001,ALAMEDA,Total,10395.3844,10124.91318,10222.65029,10892.5133,10542.68439,11055.93987,10756.81948,10207.89505,10262.88842,10582.63574,10549.30195,10950.1391,10693.49668,10331.86086,11151.1101,11716.96264,11164.01723,11054.59577,10660.26787,10588.91632,10424.93638,10188.5701,10662.16051,10656.82633,9984.913137,10498.07888,10384.33384,9858.388895,9442.803439,9790.005719,9287.523316,9324.783738,9607.565521,344015.8825
6003,ALPINE,Total,17.446328,17.950872,18.531175,19.142086,18.89508,19.087034,17.47185,16.261946,16.035672,18.224544,13.929694,14.32289,17.675253,18.280841,18.285124,20.022577,18.920459,17.229102,18.433837,11.471545,11.392946,11.93994,11.407006,11.214522,11.624374,10.841346,10.448214,10.528255,10.565195,11.298486,10.032819,10.071697,9.618742,488.601451
6005,AMADOR,Total,349.097079,355.906973,345.101805,312.927422,299.130849,312.464344,308.871678,284.648672,290.441672,309.835703,321.341347,309.6949,315.134258,326.451683,331.794048,322.372485,307.61601,295.05682,300.763743,271.368651,262.087249,305.607886,362.047082,334.902359,325.524721,317.051964,330.602083,361.312111,350.855821,352.336359,335.420249,338.670056,315.982614,10562.4207
6007,BUTTE,Total,1444.736022,1527.816282,1369.110719,1387.489824,1467.307136,1523.769901,1476.231464,1486.205073,1481.242342,1494.74293,1498.597234,1425.971188,1408.927402,1439.056735,1455.187815,1501.047256,1414.658387,1345.635996,1372.873769,1319.621367,1345.090114,1248.119405,1564.503698,1384.203698,1280.499993,1541.507515,1371.460934,1280.118768,1519.236871,1245.313236,1284.006403,1307.491598,1401.795701,46613.57678
6009,CALAVERAS,Total,325.916229,355.11018,344.486967,327.22634,331.770078,347.281456,315.815783,311.486849,319.578017,326.579869,326.562629,326.167424,315.9807,324.319496,319.959794,322.102322,318.230973,307.817328,288.332735,272.025316,272.716581,255.359228,255.426547,250.684811,243.544406,233.957679,223.123873,213.730829,232.842757,247.2137,247.354237,251.603627,243.94946,9598.25822
6011,COLUSA,Total,314.380989,335.853115,321.554194,289.64296,299.613605,293.915184,297.459409,306.69023,304.23413,297.845462,279.715199,270.592323,255.782826,264.84046,256.481811,250.099207,247.827822,247.797225,234.664416,221.331286,253.360513,250.348184,240.899676,242.776854,204.912146,214.246577,204.701523,194.573122,204.096438,194.91387,196.240893,194.261811,195.642863,8381.296323
6013,CONTRA COSTA,Total,8337.835566,8202.561361,8603.375915,9681.033911,9289.84052,9718.892849,9620.438137,9498.179277,9573.539196,9119.890277,9090.06286,9096.846296,9106.521023,9085.386829,9346.70054,8587.262387,8668.001839,8494.382371,8530.124622,8244.435509,8032.447064,8229.90608,8469.919242,9013.321079,8677.140702,9309.831923,9065.637359,9019.827907,8908.572833,8820.606502,8401.783739,8421.273853,8597.007706,292862.5873
6015,DEL NORTE,Total,215.13353,212.296363,205.514004,210.273356,207.069851,216.948886,204.71684,211.891142,203.423378,226.012607,227.758784,238.024332,241.728364,241.376947,249.762793,255.241891,236.502674,229.723934,234.680946,220.295903,217.287103,220.118843,236.487557,221.369652,217.618846,213.615931,247.710327,209.553691,214.387384,221.550379,211.793326,211.411099,192.650044,7323.930707
6017,EL DORADO,Total,1259.499268,1262.937373,1244.971315,1215.924189,1209.571787,1251.097857,1207.592304,1168.109679,1188.366096,1240.476677,1252.021354,1242.595254,1239.261768,1267.938695,1286.284999,1275.10856,1279.397992,1206.888809,1165.267557,1109.146645,1124.825002,1113.693176,1133.430305,1099.915042,1068.172754,1015.461433,999.489981,956.658644,917.585605,919.313603,893.339931,881.783012,876.767177,37572.89384
6019,FRESNO,Total,8384.408687,8271.625329,7935.942355,7370.757061,7574.911095,7361.215806,7555.293843,7619.146422,7625.649298,7459.135192,7337.914497,6844.096358,6863.777882,7038.376636,7083.746833,7072.69663,6477.925361,6309.23511,6550.307934,6268.745105,6360.866176,6190.08207,6395.335488,6093.369171,5641.19466,5875.683159,5673.11345,5435.22023,5549.97156,5287.304864,5528.216057,5272.70999,5043.042515,219351.0168
6021,GLENN,Total,495.326459,483.16009,427.614484,394.241499,405.333262,391.525782,365.979907,383.7632,380.879902,349.275053,306.999785,294.549799,296.81059,304.182247,329.237208,351.135466,379.837691,360.626798,417.26418,356.848915,484.799452,385.447767,360.743525,380.308267,343.384687,368.128232,339.006026,362.914494,302.953975,296.552012,300.352478,300.158489,404.450451,12103.79217
6023,HUMBOLDT,Total,774.289947,810.654986,802.278406,789.873867,799.059962,823.417312,835.610772,823.929774,840.132232,890.763656,899.819031,915.395349,926.724962,907.217942,1010.456119,1045.367978,1021.972169,960.615771,961.525454,917.565809,957.170628,965.673662,1053.658282,1142.55433,1103.027108,1040.882709,1051.726411,1101.127942,1085.429189,1041.684075,1004.654587,1036.029267,1007.867146,31348.15683
6025,IMPERIAL,Total,1503.378504,1460.062243,1462.23925,1413.8773,1466.884599,1444.66927,1439.920676,1419.217283,1446.22682,1450.133719,1470.257772,1429.036429,1392.376536,1426.468413,1463.505527,1403.646934,1436.274456,1422.218472,1426.52631,1389.332443,1256.248736,1334.666253,1092.246057,963.572392,987.252709,1164.509176,1152.907533,1114.502774,1104.427855,830.675143,753.409526,721.659488,777.615239,42019.94584
6027,INYO,Total,210.065599,204.997426,203.645696,206.812856,205.742773,201.236361,226.73603,204.934598,212.053323,230.9415,238.539126,235.69735,227.90486,229.450742,209.753666,216.338028,219.343338,222.090371,232.871111,214.999706,223.369957,220.795397,230.555944,116.199116,94.926087,93.260696,91.672588,85.778432,82.663938,78.917041,77.56374,82.702477,89.478248,5922.038121
6029,KERN,Total,14860.85147,14966.65968,14896.90618,17187.90602,15914.17674,18508.31504,16501.93824,15139.67914,14272.81075,15006.80392,16661.70922,15935.96281,14939.01066,14427.23247,15436.64461,17232.69359,16438.33496,14937.82539,16527.13156,14922.57786,14280.93034,12701.96776,11382.27054,11361.40832,9418.476935,11386.14623,10638.05551,9285.239119,10876.67552,9895.688581,10621.61577,10452.64875,13460.95242,460477.2461
6031,KINGS,Total,2017.116928,1999.214584,1875.167289,1617.859966,1770.882842,1510.807886,1785.089464,1769.205561,1811.209563,1788.086672,1682.868535,1423.298676,1452.720157,1585.421155,1495.954045,1423.788768,1387.73299,1315.326509,1337.672861,1077.452641,980.535302,924.456742,934.603122,967.748574,939.74186,996.958456,952.152085,905.684092,1010.399181,889.862575,1021.893769,1016.785601,963.410751,44631.1092
6033,LAKE,Total,447.610683,472.756114,458.674666,442.697952,441.72241,464.137019,440.875045,430.797297,441.242936,470.025814,466.402241,459.294124,454.318659,453.005357,455.603903,444.763308,653.123229,624.167113,543.896301,535.75167,462.487627,446.782928,423.554929,417.101608,395.089005,370.630548,397.753063,462.820692,465.929322,458.779355,466.223519,473.187296,451.803569,15293.0093
6035,LASSEN,Total,330.939559,356.535319,375.454478,371.213606,375.876518,385.916889,422.358502,363.499434,395.585269,397.499641,380.438107,377.599443,359.473899,392.325638,264.585159,253.153877,290.550475,289.943443,291.5693,261.517791,256.551216,256.427317,238.815043,235.487998,225.871446,226.676276,224.510254,196.906744,210.172361,149.056168,149.940696,193.685996,183.95704,9684.094902
6037,LOS ANGELES,Total,68484.95628,66003.28589,65566.25252,66741.97641,67834.12562,68591.44092,69364.52246,69460.61822,69859.78515,68280.23772,69167.61451,68115.6059,68184.28448,69876.8113,72009.86913,71186.1762,70880.48208,69949.74309,69178.89625,68496.54953,67707.79552,69740.63937,69404.13121,66713.28618,65706.38772,65864.26254,64180.75048,62466.05549,62781.68367,62200.73278,63273.86757,62714.84095,64747.79498,2224735.462
6039,MADERA,Total,1808.229048,1800.208564,1741.547704,1581.201497,1653.575848,1579.260359,1587.879994,1693.879873,1658.334724,1576.701139,1529.922763,1386.937416,1378.831926,1433.669199,1419.964687,1371.481627,1189.725975,1150.34318,1189.918087,1094.256251,1129.095686,1106.337242,1110.500699,1121.653102,1017.214588,1070.99189,1036.888114,974.240043,1024.505025,959.095491,974.421567,917.315425,893.909102,43162.03784
